Country,Amount,Date
Cuba,99.80%,2006
Estonia,99.77%,2006
Latvia,99.75%,2006
Lithuania,99.65%,2006
Slovakia,99.63%,2006
Belarus,99.59%,2006
Slovenia,99.56%,1990
Kazakhstan,99.51%,2006
Tajikistan,99.45%,2006
Russia,99.44%,2006
Ukraine,99.43%,2006
Armenia,99.40%,2006
Barbados,99.36%,1990
Former Soviet republics average,99.28%,2006
Hungary,99.06%,1990
Tonga,98.91%,2006
Azerbaijan,98.79%,2006
Turkmenistan,98.78%,2006
Albania,98.71%,2006
Kyrgyzstan,98.70%,2006
Uzbekistan,98.65%,1990
Italy,98.42%,2006
Moldova,98.36%,2006
Bulgaria,98.20%,2006
Croatia,98.15%,2006
Samoa,97.99%,1990
Mongolia,97.77%,2006
Romania,97.30%,2006
Aruba,97.29%,2006
Argentina,97.19%,2006
Guyana,97.18%,1990
Israel,97.15%,2006
Trinidad and Tobago,96.84%,1990
Cyprus,96.80%,2006
Bosnia and Herzegovina,96.66%,2006
Uruguay,96.51%,1990
Serbia and Montenegro,96.40%,2006
Maldives,96.33%,2006
New Caledonia,96.20%,2006
Greece,95.99%,2006
Chile,95.72%,2006
Netherlands Antilles,95.65%,1990
Costa Rica,94.87%,2006
The Bahamas,94.43%,1990
Kuwait,93.27%,2006
Venezuela,92.98%,2006
Colombia,92.80%,2006
Brunei,92.67%,2006
Thailand,92.65%,2006
Philippines,92.60%,2006
Singapore,92.55%,2006
Panama,91.90%,2006
Seychelles,91.84%,2006
Macau,91.30%,2006
Ecuador,90.98%,2006
Mexico,90.95%,2006
China,90.92%,2006
Sri Lanka,90.68%,2006
Indonesia,90.38%,2006
Paraguay,90.32%,1990
Vietnam,90.28%,2006
Emerging markets average,90.23%,2006
Jordan,89.89%,2006
Burma,89.89%,2006
Suriname,89.60%,2006
Former Spanish colonies average,89.06%,2006
Qatar,88.96%,2006
Malaysia,88.69%,2006
Brazil,88.62%,2006
Fiji,88.60%,1990
Malta,87.87%,2006
Peru,87.67%,2006
Turkey,87.37%,2006
Dominican Republic,87%,2006
Equatorial Guinea,86.99%,2006
Bolivia,86.72%,2006
Bahrain,86.55%,2006
Namibia,85.04%,2006
Mauritius,84.37%,2006
South Africa,82.40%,2006
Lesotho,82.22%,2006
Oman,81.35%,2006
Botswana,81.19%,2006
Zimbabwe,80.70%,1990
Lebanon,80.34%,1990
Honduras,80.01%,2006
Jamaica,79.90%,2006
Swaziland,79.56%,2006
Syria,79.56%,2006
Saudi Arabia,79.35%,2006
Iran,77%,2006
Nicaragua,76.68%,2006
Tunisia,74.30%,2006
Iraq,74.05%,2006
Vanuatu,74%,2006
Cambodia,73.61%,2006
Kenya,73.61%,2006
El Salvador,72.42%,1990
Egypt,71.41%,2006
United Arab Emirates,71.04%,1990
Madagascar,70.68%,2006
Algeria,69.87%,2006
Tanzania,69.43%,2006
Guatemala,69.10%,2006
Laos,68.73%,2006
Libya,68.05%,1990
Zambia,68%,2006
Cameroon,67.90%,2006
Angola,67.41%,2006
Democratic Republic of the Congo,67.17%,2006
"Congo, Republic of the",67.14%,1990
Uganda,66.81%,2006
Rwanda,64.90%,2006
OPEC countries average,64.82%,1990
Malawi,64.13%,2006
Cape Verde,63.81%,1990
Middle Eastern and North Africa average,63.51%,1990
India,61.01%,2006
Sudan,60.93%,2006
Muslim countries average,59.70%,1990
Bhutan,59.50%,2005
Burundi,59.30%,2006
Ghana,57.90%,2006
Papua New Guinea,57.34%,2006
Comoros,53.78%,1990
Togo,53.16%,2006
Djibouti,52.98%,1990
Morocco,52.31%,2006
Mauritania,51.21%,2006
Pakistan,49.85%,2006
Cote d'Ivoire,48.73%,2006
Nigeria,48.66%,1990
Nepal,48.59%,2006
Central African Republic,48.57%,2006
Eritrea,46.44%,1990
Haiti,39.66%,1990
Senegal,39.28%,2006
Liberia,39.22%,1990
Sierra Leone,35.09%,2006
Benin,34.66%,2006
Bangladesh,34.22%,1990
Mozambique,33.48%,1990
Yemen,32.68%,1990
Guinea,29.48%,2006
Niger,28.66%,2006
Ethiopia,28.60%,1990
Afghanistan,28.09%,2006
Chad,25.65%,2006
The Gambia,25.59%,1990
Burkina Faso,21.82%,2006
Mali,19.04%,2006
